,country,series,diff_level,stationary,p_value
0,austria,co2_quarterly,0,1,0.04388452436255546
1,austria,pop_quarterly,0,0,0.9926200784272499
2,austria,pop_quarterly,1,0,0.18256389353535263
3,austria,pop_quarterly,2,0,0.39155588013818826
4,austria,gdp_quarterly,0,0,0.9641521876191924
5,austria,gdp_quarterly,1,1,1.524695138165028e-06
6,austria,co2_quarterly_cap,0,0,0.6967677384805822
7,austria,co2_quarterly_cap,1,0,0.2749781978511329
8,austria,co2_quarterly_cap,2,0,0.26687731878919285
9,austria,gdp_quarterly_cap,0,0,0.9485646981834286
10,austria,gdp_quarterly_cap,1,1,9.448837377016683e-07
11,belgium,co2_quarterly,0,0,0.8234866077745009
12,belgium,co2_quarterly,1,0,0.10590492976388033
13,belgium,co2_quarterly,2,0,0.10415976616285327
14,belgium,pop_quarterly,0,0,0.8832516466541291
15,belgium,pop_quarterly,1,1,0.02730244011592454
16,belgium,gdp_quarterly,0,0,0.9931101747959582
17,belgium,gdp_quarterly,1,1,6.530847244118582e-07
18,belgium,co2_quarterly_cap,0,0,0.8808316461535874
19,belgium,co2_quarterly_cap,1,0,0.13107576130569099
20,belgium,co2_quarterly_cap,2,0,0.12871442798177868
21,belgium,gdp_quarterly_cap,0,0,0.9930114130640297
22,belgium,gdp_quarterly_cap,1,1,6.459770532502604e-07
23,bulgaria,co2_quarterly,0,1,0.0004481048043957187
24,bulgaria,pop_quarterly,0,0,0.5257834428288429
25,bulgaria,pop_quarterly,1,1,0.001327375860850386
26,bulgaria,gdp_quarterly,0,0,0.6463749185501817
27,bulgaria,gdp_quarterly,1,1,0.012625563259625135
28,bulgaria,co2_quarterly_cap,0,1,0.001849413930517253
29,bulgaria,gdp_quarterly_cap,0,0,0.7760125649618406
30,bulgaria,gdp_quarterly_cap,1,0,0.1402898351817195
31,bulgaria,gdp_quarterly_cap,2,0,0.5909128387197
32,croatia,co2_quarterly,0,0,0.6595446663060731
33,croatia,co2_quarterly,1,1,0.07458579721873232
34,croatia,pop_quarterly,0,0,1.0
35,croatia,pop_quarterly,1,1,4.182319784462651e-28
36,croatia,gdp_quarterly,0,0,0.701219962684718
37,croatia,gdp_quarterly,1,1,0.004194360382559479
38,croatia,co2_quarterly_cap,0,0,0.5214879405342634
39,croatia,co2_quarterly_cap,1,1,0.05495268681008614
40,croatia,gdp_quarterly_cap,0,0,0.6941646466856237
41,croatia,gdp_quarterly_cap,1,1,0.0029227985475634723
42,czech republic,co2_quarterly,0,0,0.8779052301201833
43,czech republic,co2_quarterly,1,1,2.1332056039397647e-06
44,czech republic,pop_quarterly,0,0,0.6916981397210872
45,czech republic,pop_quarterly,1,1,0.08043444431337127
46,czech republic,gdp_quarterly,0,0,0.9059191777324554
47,czech republic,gdp_quarterly,1,1,0.00022012725016094754
48,czech republic,co2_quarterly_cap,0,0,0.9155698291019418
49,czech republic,co2_quarterly_cap,1,1,4.697215232085533e-06
50,czech republic,gdp_quarterly_cap,0,0,0.8750930905355472
51,czech republic,gdp_quarterly_cap,1,1,0.00012292539963037287
52,france,co2_quarterly,0,0,0.8722316264639938
53,france,co2_quarterly,1,1,0.0013537442674406174
54,france,pop_quarterly,0,1,0.022434397154431445
55,france,gdp_quarterly,0,0,0.9806181731725757
