model,timestamp,timeframe,stat,sign_level,treatment_country,incl_vars,incl_countries,incl_years,impl_date,n_train,n_test,r2_pre_log_diff,r2_pre_log,r2_pre,shapiro_p,normal_errors,att_mean,att_std,att_p,att_sign,att_log_diff_mean,att_log_diff_std,att_log_diff_p,att_log_diff_sign,prox,months_cor,split_date,r2_pre_log_diff_stand,lasso_alpha,n_pars,lasso_pars,lasso_coefs
arco,"2023-10-23, 13:29",m,stat,0.1,switzerland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2008-01-01,99,127,0.6628434495213336,0.9255517257144468,0.9412162221094987,0.29934436082839966,1,-533520714.7680735,265283484.5127752,1.4132673813818245e-51,1,-0.011514681877149109,0.0407395411882015,0.0009761688441618294,1,False,15,2009-04-01,0.6957717780677893,0.09299999999999993,7,"['austria co2', 'austria ind_prod', 'belgium co2', 'belgium pop', 'bulgaria co2', 'germany co2', 'lithuania gdp']","[0.542, -0.018, 0.244, 0.005, -0.164, 0.049, -0.061]"
arco,"2023-10-23, 13:29",m,stat,0.1,ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2010-05-01,127,99,-0.001931238507443478,0.6972442378179262,0.6757834321472684,0.03058277629315853,0,-161432970.07939458,231237087.02635148,1.9730368373270762e-11,1,0.0004959114412153292,0.07073396475024954,0.9404613784160694,0,False,15,2011-08-01,0.0,0.9989999999999992,0,[],[]
arco,"2023-10-23, 13:29",m,stat,0.1,united_kingdom,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2013-04-01,147,79,0.6553047207292975,0.9219793214215516,0.918946188501918,0.03723401576280594,0,-5249048982.551253,2559925008.951806,7.69086986811294e-30,1,-0.02311965587468301,0.03052123393040337,2.5290398557784544e-09,1,False,0,2013-04-01,0.6460275103585128,0.09899999999999992,8,"['belgium co2', 'belgium pop', 'czech_republic pop', 'germany co2', 'lithuania co2', 'lithuania gdp', 'netherlands co2', 'netherlands pop']","[0.531, -0.066, -0.078, 0.0, 0.08, 0.074, 0.11, -0.036]"
arco,"2023-10-23, 13:29",m,stat,0.1,france,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2014-04-01,156,70,0.7365764244384031,0.9503432157105453,0.9426259264214005,0.20481431484222412,1,-1977417996.1544137,1705387454.2256248,5.886569611751802e-14,1,-0.010792192712399654,0.04212523558762692,0.039826096395469406,1,False,-3,2014-01-01,0.7162968751155989,0.1219999999999999,7,"['belgium co2', 'croatia co2', 'czech_republic gdp', 'lithuania gdp', 'netherlands co2', 'spain co2', 'spain unempl']","[0.369, 0.103, -0.003, -0.037, 0.255, 0.15, 0.003]"
arco,"2023-10-23, 13:30",m,stat,0.1,portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2015-01-01,183,43,0.17768477771736713,0.4744290747417359,0.40878125472960913,0.2397831827402115,1,175222504.59103492,519314165.3184927,0.012820187190131243,1,0.007780090139871804,0.06638235048070357,0.3758362650166046,0,False,15,2016-04-01,0.18131671279778938,0.43499999999999966,1,['spain co2'],[0.174]
arco,"2023-10-23, 14:19",m,stat,0.1,switzerland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2008-01-01,99,127,0.5683529013940885,0.8799695616683536,0.894375286732687,0.5792675614356995,1,-612284655.9452875,284423152.4863997,5.704088075453818e-55,1,-0.00804726932037648,0.047702085061104425,0.04630942589811201,1,True,15,2009-04-01,0.6120041315432658,0.1109999999999999,4,"['austria co2', 'austria ind_prod', 'germany co2', 'germany gdp']","[0.466, -0.02, 0.23, -0.097]"
arco,"2023-10-23, 14:19",m,stat,0.1,ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2010-05-01,127,99,0.3038029270993934,0.8534227738460128,0.8455541310145221,1.0618661690386944e-05,0,-132557345.0899071,235965731.02502173,2.4528592156167094e-08,1,0.0041177007158807516,0.05407317898343312,0.4178905455693872,0,True,15,2011-08-01,0.32592537022229195,0.10699999999999991,7,"['austria brent', 'germany unempl', 'greece brent', 'lithuania unempl', 'netherlands gdp', 'united_kingdom co2', 'united_kingdom ind_prod']","[-0.012, 0.031, -0.002, -0.002, 0.052, 0.44, -0.035]"
arco,"2023-10-23, 14:19",m,stat,0.1,united_kingdom,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2013-04-01,147,79,0.6160549594639643,0.924711017464983,0.9246275860743006,0.012289945036172867,0,-5192146380.431537,2812949789.1651692,5.2437683239625474e-27,1,-0.0270812517002416,0.031159064229083964,3.2024514758948433e-11,1,True,0,2013-04-01,0.6141828712314108,0.08299999999999993,5,"['belgium co2', 'belgium pop', 'netherlands co2', 'netherlands pop', 'spain unempl']","[0.531, -0.066, 0.16, -0.05, -0.092]"
arco,"2023-10-23, 14:19",m,stat,0.1,france,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2014-04-01,156,70,0.6866396477203941,0.9411414461449642,0.9284995852126099,0.021646341308951378,0,-2142468504.6421149,1888623397.424575,1.356694906182892e-13,1,-0.009922658472977715,0.043443655500815526,0.06598209625285323,1,True,-3,2014-01-01,0.6678959801182205,0.17199999999999988,4,"['belgium co2', 'italy co2', 'netherlands co2', 'spain co2']","[0.338, 0.036, 0.272, 0.12]"
arco,"2023-10-23, 14:19",m,stat,0.1,portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",2015-01-01,183,43,0.18188808361606768,0.47955568099139945,0.41429642360645513,0.25105640292167664,1,174737232.05482295,517409488.2900679,0.012743767076011492,1,0.007699989374569396,0.06612263379832369,0.3788821595720876,0,True,15,2016-04-01,0.1856417127977893,0.42999999999999966,1,['spain co2'],[0.179]
