,country,series,log,diff_level,diff_order,regression,stationary,p_value
0,austria,co2,0,0,1,c,1,0.03829866125671928
1,austria,co2,0,0,2,c,1,0.03829866125671928
2,austria,co2,0,1,1,c,1,1.4041891144522713e-08
3,austria,co2,0,1,2,c,1,3.60491444939367e-10
4,austria,co2,0,2,1,c,0,0.24337873056221315
5,austria,co2,0,2,1,ct,0,0.45403028960333264
6,austria,co2,0,2,1,ctt,1,4.0679253424538533e-10
7,austria,co2,0,2,2,c,1,0.0031007106347405366
8,austria,co2,0,4,1,c,0,0.2364337244565039
9,austria,co2,0,4,1,ct,1,1.56818943687098e-10
10,austria,co2,0,4,2,c,1,0.002399495102349884
11,austria,co2,0,8,1,c,1,0.00025843033072346514
12,austria,co2,0,8,2,c,0,0.1279167733019843
13,austria,co2,0,8,2,ct,0,0.24579363852684333
14,austria,co2,0,8,2,ctt,0,0.44574292864736453
15,austria,co2,0,8,2,n,1,0.02002784344001553
16,austria,co2,1,0,1,c,1,0.04388452436254984
17,austria,co2,1,0,2,c,1,0.04388452436254984
18,austria,co2,1,1,1,c,0,0.28555857682827396
19,austria,co2,1,1,1,ct,0,0.4973309671791118
20,austria,co2,1,1,1,ctt,0,0.7199271352044909
21,austria,co2,1,1,1,n,1,0.025718084708817045
22,austria,co2,1,1,2,c,1,1.159672210698655e-10
23,austria,co2,1,2,1,c,0,0.27774281211725227
24,austria,co2,1,2,1,ct,0,0.4873434191336016
25,austria,co2,1,2,1,ctt,0,0.5326364756756969
26,austria,co2,1,2,1,n,1,0.0242001267474786
27,austria,co2,1,2,2,c,1,0.005427831454949997
28,austria,co2,1,4,1,c,0,0.2732615383248138
29,austria,co2,1,4,1,ct,0,0.46066048976215823
30,austria,co2,1,4,1,ctt,0,0.6668625173105962
31,austria,co2,1,4,1,n,1,0.024106603080683135
32,austria,co2,1,4,2,c,1,0.0006209822602252285
33,austria,co2,1,8,1,c,0,0.32447019497188656
34,austria,co2,1,8,1,ct,0,0.5562220458372769
35,austria,co2,1,8,1,ctt,0,0.6163648423830351
36,austria,co2,1,8,1,n,1,0.031553863861438346
37,austria,co2,1,8,2,c,0,0.19325920882641412
38,austria,co2,1,8,2,ct,0,0.36829065512858494
39,austria,co2,1,8,2,ctt,0,0.5432862316004775
40,austria,co2,1,8,2,n,1,0.03646014904155958
41,austria,gdp,0,0,1,c,0,0.9986088521210239
42,austria,gdp,0,0,1,ct,0,0.8902744208790314
43,austria,gdp,0,0,1,ctt,0,0.390807481581984
44,austria,gdp,0,0,1,n,0,0.999999999995166
45,austria,gdp,0,0,2,c,0,0.9986088521210239
46,austria,gdp,0,0,2,ct,0,0.8902744208790314
47,austria,gdp,0,0,2,ctt,0,0.390807481581984
48,austria,gdp,0,0,2,n,0,0.999999999995166
49,austria,gdp,0,1,1,c,1,1.120339220428604e-05
50,austria,gdp,0,1,2,c,1,1.1204160269968212e-09
51,austria,gdp,0,2,1,c,1,0.0002064481815617534
52,austria,gdp,0,2,2,c,1,0.006420446233504053
53,austria,gdp,0,4,1,c,0,0.16058002447109382
54,austria,gdp,0,4,1,ct,0,0.10670770722625844
55,austria,gdp,0,4,1,ctt,0,0.6707160606762029
56,austria,gdp,0,4,1,n,0,0.8893205546287477
57,austria,gdp,0,4,2,c,1,0.005672843552430394
58,austria,gdp,0,8,1,c,0,0.33728555823199086
59,austria,gdp,0,8,1,ct,0,0.15458171362288586
60,austria,gdp,0,8,1,ctt,1,0.03729463856157577
61,austria,gdp,0,8,2,c,1,0.03281990015235761
62,austria,gdp,1,0,1,c,0,0.9641521876191924
63,austria,gdp,1,0,1,ct,0,0.12952048512456898
64,austria,gdp,1,0,1,ctt,0,0.2302660188068164
65,austria,gdp,1,0,1,n,0,0.9999999998271812
66,austria,gdp,1,0,2,c,0,0.9641521876191924
67,austria,gdp,1,0,2,ct,0,0.12952048512456898
68,austria,gdp,1,0,2,ctt,0,0.2302660188068164
69,austria,gdp,1,0,2,n,0,0.9999999998271812
70,austria,gdp,1,1,1,c,1,1.524695138165028e-06
71,austria,gdp,1,1,2,c,1,1.9176789954020213e-11
72,austria,gdp,1,2,1,c,1,0.007029210974011916
73,austria,gdp,1,2,2,c,1,0.005195826047775865
74,austria,gdp,1,4,1,c,0,0.40807565252991473
75,austria,gdp,1,4,1,ct,0,0.09924818247581113
76,austria,gdp,1,4,1,ctt,0,0.6902918334152813
77,austria,gdp,1,4,1,n,0,0.6411445216551079
78,austria,gdp,1,4,2,c,1,0.0032641085993628943
79,austria,gdp,1,8,1,c,1,0.025064294250183684
80,austria,gdp,1,8,2,c,1,0.022535753179896225
81,austria,pop,0,0,1,c,0,0.9941502146877523
82,austria,pop,0,0,1,ct,0,0.8165643917789976
83,austria,pop,0,0,1,ctt,0,0.5240185221560374
84,austria,pop,0,0,1,n,0,0.9920802589725138
85,austria,pop,0,0,2,c,0,0.9941502146877523
86,austria,pop,0,0,2,ct,0,0.8165643917789976
87,austria,pop,0,0,2,ctt,0,0.5240185221560374
88,austria,pop,0,0,2,n,0,0.9920802589725138
89,austria,pop,0,1,1,c,0,0.19427027813052966
90,austria,pop,0,1,1,ct,0,0.28722529779315886
91,austria,pop,0,1,1,ctt,0,0.5996013164837994
92,austria,pop,0,1,1,n,0,0.3128253500772776
93,austria,pop,0,1,2,c,1,0.049531113106420714
94,austria,pop,0,2,1,c,0,0.43208668041630066
95,austria,pop,0,2,1,ct,0,0.24066782926645375
96,austria,pop,0,2,1,ctt,0,0.29283918524481134
97,austria,pop,0,2,1,n,0,0.4826656590109412
98,austria,pop,0,2,2,c,0,0.7082201462628142
99,austria,pop,0,2,2,ct,0,0.9357108076233942
100,austria,pop,0,2,2,ctt,0,0.9691348178681616
101,austria,pop,0,2,2,n,0,0.20383263413024527
102,austria,pop,0,4,1,c,0,0.41010834667593976
103,austria,pop,0,4,1,ct,0,0.2037390037360895
104,austria,pop,0,4,1,ctt,0,0.2462405112051333
105,austria,pop,0,4,1,n,0,0.47363522423841603
106,austria,pop,0,4,2,c,0,0.40119089001469077
107,austria,pop,0,4,2,ct,0,0.7422462646031698
108,austria,pop,0,4,2,ctt,0,0.9382666897869771
109,austria,pop,0,4,2,n,0,0.06269566210808487
110,austria,pop,0,8,1,c,1,0.0038733821306724476
111,austria,pop,0,8,2,c,1,0.01367671841582155
112,austria,pop,1,0,1,c,0,0.9926200784272646
113,austria,pop,1,0,1,ct,0,0.7526643975285146
114,austria,pop,1,0,1,ctt,0,0.4981911212308494
115,austria,pop,1,0,1,n,0,0.9914594159490321
116,austria,pop,1,0,2,c,0,0.9926200784272646
117,austria,pop,1,0,2,ct,0,0.7526643975285146
118,austria,pop,1,0,2,ctt,0,0.4981911212308494
119,austria,pop,1,0,2,n,0,0.9914594159490321
120,austria,pop,1,1,1,c,0,0.18256389353638275
121,austria,pop,1,1,1,ct,0,0.30482741166566485
122,austria,pop,1,1,1,ctt,0,0.6244856833159311
123,austria,pop,1,1,1,n,0,0.3032253991790588
124,austria,pop,1,1,2,c,1,0.04550804118467313
125,austria,pop,1,2,1,c,0,0.3915558801403321
126,austria,pop,1,2,1,ct,0,0.244179325730997
127,austria,pop,1,2,1,ctt,0,0.309630154885138
128,austria,pop,1,2,1,n,0,0.4608235335050991
129,austria,pop,1,2,2,c,0,0.6903711667950513
130,austria,pop,1,2,2,ct,0,0.9262013876926204
131,austria,pop,1,2,2,ctt,0,0.963112895307356
132,austria,pop,1,2,2,n,0,0.19413338295175764
133,austria,pop,1,4,1,c,0,0.37102347448494505
134,austria,pop,1,4,1,ct,0,0.2061422194859801
135,austria,pop,1,4,1,ctt,0,0.26009082751213325
136,austria,pop,1,4,1,n,0,0.4525647538094948
137,austria,pop,1,4,2,c,0,0.40462516933460546
138,austria,pop,1,4,2,ct,0,0.7433245581951888
139,austria,pop,1,4,2,ctt,0,0.933185370965203
140,austria,pop,1,4,2,n,0,0.0631855677860885
141,austria,pop,1,8,1,c,1,0.002824688482879205
142,austria,pop,1,8,2,c,1,0.013909883459247043
143,austria,brent,0,0,1,c,0,0.37565193406206526
144,austria,brent,0,0,1,ct,0,0.7548337017463562
145,austria,brent,0,0,1,ctt,0,0.13717172862450638
146,austria,brent,0,0,1,n,0,0.5465165931036499
147,austria,brent,0,0,2,c,0,0.37565193406206526
148,austria,brent,0,0,2,ct,0,0.7548337017463562
149,austria,brent,0,0,2,ctt,0,0.13717172862450638
150,austria,brent,0,0,2,n,0,0.5465165931036499
151,austria,brent,0,1,1,c,1,8.769091703844102e-10
152,austria,brent,0,1,2,c,1,7.411288556431089e-09
153,austria,brent,0,2,1,c,1,0.009635070221285276
154,austria,brent,0,2,2,c,1,7.008965128909069e-05
155,austria,brent,0,4,1,c,1,0.03430829701408793
156,austria,brent,0,4,2,c,1,0.01943457613345494
157,austria,brent,0,8,1,c,0,0.37601331855886433
158,austria,brent,0,8,1,ct,0,0.15406184755304203
159,austria,brent,0,8,1,ctt,0,0.45271080384057055
160,austria,brent,0,8,1,n,0,0.0706343659117826
161,austria,brent,0,8,2,c,0,0.07552261528838934
162,austria,brent,0,8,2,ct,0,0.2669223508066526
163,austria,brent,0,8,2,ctt,0,0.41997498855087956
164,austria,brent,0,8,2,n,1,0.007627689773022175
165,austria,brent,1,0,1,c,0,0.27734685985344704
166,austria,brent,1,0,1,ct,0,0.6336443984569764
167,austria,brent,1,0,1,ctt,0,0.21066896975962746
168,austria,brent,1,0,1,n,0,0.7697730859276037
169,austria,brent,1,0,2,c,0,0.27734685985344704
170,austria,brent,1,0,2,ct,0,0.6336443984569764
171,austria,brent,1,0,2,ctt,0,0.21066896975962746
172,austria,brent,1,0,2,n,0,0.7697730859276037
173,austria,brent,1,1,1,c,1,4.4295480557397935e-09
174,austria,brent,1,1,2,c,1,8.911485816775448e-09
175,austria,brent,1,2,1,c,1,0.013363880620023704
176,austria,brent,1,2,2,c,1,0.00037523214801221964
177,austria,brent,1,4,1,c,0,0.07827941705395733
178,austria,brent,1,4,1,ct,0,0.05408082868477606
179,austria,brent,1,4,1,ctt,1,0.0039218748298828765
180,austria,brent,1,4,2,c,1,0.027411499508215306
181,austria,brent,1,8,1,c,0,0.424669012254475
182,austria,brent,1,8,1,ct,0,0.2451502301884798
183,austria,brent,1,8,1,ctt,0,0.5838362882282101
