,country,series,log,diff_level,diff_order,regression,stationary,p_value
0,austria,co2,0,0,1,c,1,0.011462712116901372
1,austria,co2,0,0,2,c,1,0.011462712116901372
2,austria,co2,0,1,1,c,1,3.581313014325729e-08
3,austria,co2,0,1,2,c,1,3.646320915462332e-19
4,austria,co2,0,2,1,c,1,0.0013269840417656066
5,austria,co2,0,2,2,c,1,1.774346168569797e-18
6,austria,co2,0,12,1,c,1,2.1743122021032043e-06
7,austria,co2,0,12,2,c,1,1.6965018099695383e-10
8,austria,co2,0,24,1,c,1,5.200482712406863e-07
9,austria,co2,0,24,2,c,1,6.201424482104115e-08
10,austria,co2,1,0,1,c,1,0.006066481579196283
11,austria,co2,1,0,2,c,1,0.006066481579196283
12,austria,co2,1,1,1,c,1,5.676759029971404e-07
13,austria,co2,1,1,2,c,1,2.3477977237544843e-18
14,austria,co2,1,2,1,c,1,2.608261742782424e-05
15,austria,co2,1,2,2,c,1,1.3156747018598581e-17
16,austria,co2,1,12,1,c,1,1.9533377941597747e-05
17,austria,co2,1,12,2,c,1,1.3545058160946062e-06
18,austria,co2,1,24,1,c,1,3.7301004231768774e-06
19,austria,co2,1,24,2,c,1,1.894458539702808e-07
20,austria,gdp,0,0,1,c,0,0.9978638741674273
21,austria,gdp,0,0,1,ct,0,0.9766294437878773
22,austria,gdp,0,0,1,ctt,0,0.6299354405875011
23,austria,gdp,0,0,1,n,0,0.9999753005183855
24,austria,gdp,0,0,2,c,0,0.9978638741674273
25,austria,gdp,0,0,2,ct,0,0.9766294437878773
26,austria,gdp,0,0,2,ctt,0,0.6299354405875011
27,austria,gdp,0,0,2,n,0,0.9999753005183855
28,austria,gdp,0,1,1,c,1,0.037170817644230025
29,austria,gdp,0,1,2,c,1,5.646155827201268e-10
30,austria,gdp,0,2,1,c,1,0.01579089128512061
31,austria,gdp,0,2,2,c,1,1.2476949303007272e-06
32,austria,gdp,0,12,1,c,0,0.10093134568764683
33,austria,gdp,0,12,1,ct,1,0.0632698271822987
34,austria,gdp,0,12,2,c,1,0.002001582701443214
35,austria,gdp,0,24,1,c,1,0.08442045680301619
36,austria,gdp,0,24,2,c,1,0.00016617683832625065
37,austria,gdp,1,0,1,c,0,0.9001265289763263
38,austria,gdp,1,0,1,ct,0,0.17057452521098848
39,austria,gdp,1,0,1,ctt,0,0.45608167886237294
40,austria,gdp,1,0,1,n,0,0.9999723796655247
41,austria,gdp,1,0,2,c,0,0.9001265289763263
42,austria,gdp,1,0,2,ct,0,0.17057452521098848
43,austria,gdp,1,0,2,ctt,0,0.45608167886237294
44,austria,gdp,1,0,2,n,0,0.9999723796655247
45,austria,gdp,1,1,1,c,1,0.00892210471229227
46,austria,gdp,1,1,2,c,1,1.1529322151045334e-11
47,austria,gdp,1,2,1,c,1,0.0018611953828738732
48,austria,gdp,1,2,2,c,1,6.654837484834845e-07
49,austria,gdp,1,12,1,c,1,0.01345062584368969
50,austria,gdp,1,12,2,c,1,0.002865796384062355
51,austria,gdp,1,24,1,c,1,0.0010808836718230732
52,austria,gdp,1,24,2,c,1,9.534730804906455e-05
53,austria,pop,0,0,1,c,0,0.985402038420696
54,austria,pop,0,0,1,ct,0,0.7785136706468372
55,austria,pop,0,0,1,ctt,0,0.479793587471619
56,austria,pop,0,0,1,n,0,0.9959414109228768
57,austria,pop,0,0,2,c,0,0.985402038420696
58,austria,pop,0,0,2,ct,0,0.7785136706468372
59,austria,pop,0,0,2,ctt,0,0.479793587471619
60,austria,pop,0,0,2,n,0,0.9959414109228768
61,austria,pop,0,1,1,c,0,0.12494706387640614
62,austria,pop,0,1,1,ct,0,0.28327058706077857
63,austria,pop,0,1,1,ctt,0,0.5271929808425824
64,austria,pop,0,1,1,n,0,0.4303521173415137
65,austria,pop,0,1,2,c,1,8.7569564522267e-05
66,austria,pop,0,2,1,c,0,0.32486531743013725
67,austria,pop,0,2,1,ct,0,0.5970868941360369
68,austria,pop,0,2,1,ctt,0,0.8427052937180036
69,austria,pop,0,2,1,n,0,0.41250405606981677
70,austria,pop,0,2,2,c,1,8.524533205506141e-05
71,austria,pop,0,12,1,c,1,0.071711123658763
72,austria,pop,0,12,2,c,1,0.0028206656197818075
73,austria,pop,0,24,1,c,0,0.1414732421235298
74,austria,pop,0,24,1,ct,0,0.28213972828289097
75,austria,pop,0,24,1,ctt,0,0.4333535604054262
76,austria,pop,0,24,1,n,0,0.37623990907092275
77,austria,pop,0,24,2,c,1,0.016162506294218077
78,austria,pop,1,0,1,c,0,0.9804807802365642
79,austria,pop,1,0,1,ct,0,0.7216106989707822
80,austria,pop,1,0,1,ctt,0,0.46137161120942133
81,austria,pop,1,0,1,n,0,0.9957568164562888
82,austria,pop,1,0,2,c,0,0.9804807802365642
83,austria,pop,1,0,2,ct,0,0.7216106989707822
84,austria,pop,1,0,2,ctt,0,0.46137161120942133
85,austria,pop,1,0,2,n,0,0.9957568164562888
86,austria,pop,1,1,1,c,0,0.12098839065586747
87,austria,pop,1,1,1,ct,0,0.29910791989919217
88,austria,pop,1,1,1,ctt,0,0.5464276941757378
89,austria,pop,1,1,1,n,0,0.2939094407654872
90,austria,pop,1,1,2,c,1,9.593425004460136e-05
91,austria,pop,1,2,1,c,0,0.3088135331299015
92,austria,pop,1,2,1,ct,0,0.5981577267201427
93,austria,pop,1,2,1,ctt,0,0.8421605806738091
94,austria,pop,1,2,1,n,0,0.3994056013789546
95,austria,pop,1,2,2,c,1,9.235110936211356e-05
96,austria,pop,1,12,1,c,1,0.06197208546594321
97,austria,pop,1,12,2,c,1,0.0029968520701843687
98,austria,pop,1,24,1,c,0,0.12203437218624974
99,austria,pop,1,24,1,ct,0,0.2753505289134165
100,austria,pop,1,24,1,ctt,0,0.4212337814341226
101,austria,pop,1,24,1,n,0,0.36596914998452956
102,austria,pop,1,24,2,c,1,0.01620283963008686
103,austria,brent,0,0,1,c,0,0.18470177102908858
104,austria,brent,0,0,1,ct,0,0.46331019494504133
105,austria,brent,0,0,1,ctt,0,0.14570179718578397
106,austria,brent,0,0,1,n,0,0.39817114997541064
107,austria,brent,0,0,2,c,0,0.18470177102908858
108,austria,brent,0,0,2,ct,0,0.46331019494504133
109,austria,brent,0,0,2,ctt,0,0.14570179718578397
110,austria,brent,0,0,2,n,0,0.39817114997541064
111,austria,brent,0,1,1,c,1,6.998274904205245e-19
112,austria,brent,0,1,2,c,1,1.5497604451132589e-09
113,austria,brent,0,2,1,c,1,3.8837708847585366e-05
114,austria,brent,0,2,2,c,1,6.386628383166029e-09
115,austria,brent,0,12,1,c,0,0.10291056774014168
116,austria,brent,0,12,1,ct,0,0.23207275585624015
117,austria,brent,0,12,1,ctt,0,0.46018815727937135
118,austria,brent,0,12,1,n,1,0.010841284684218267
119,austria,brent,0,12,2,c,1,0.002386173622310269
120,austria,brent,0,24,1,c,1,0.050972762004615604
121,austria,brent,0,24,2,c,1,0.04109355702675031
122,austria,brent,1,0,1,c,0,0.2900766303758474
123,austria,brent,1,0,1,ct,0,0.630510935863581
124,austria,brent,1,0,1,ctt,0,0.1778434656835866
125,austria,brent,1,0,1,n,0,0.7389049232543226
126,austria,brent,1,0,2,c,0,0.2900766303758474
127,austria,brent,1,0,2,ct,0,0.630510935863581
128,austria,brent,1,0,2,ctt,0,0.1778434656835866
129,austria,brent,1,0,2,n,0,0.7389049232543226
130,austria,brent,1,1,1,c,1,4.402146313637615e-23
131,austria,brent,1,1,2,c,1,9.491253658644095e-16
132,austria,brent,1,2,1,c,1,8.314802684664657e-05
133,austria,brent,1,2,2,c,1,1.841692614570333e-09
134,austria,brent,1,12,1,c,1,0.07477003134675624
135,austria,brent,1,12,2,c,1,0.011797134558845209
136,austria,brent,1,24,1,c,1,0.08123696621113607
137,austria,brent,1,24,2,c,1,0.03609081671792617
138,austria,co2_cap,0,0,1,c,0,0.1453961900779075
139,austria,co2_cap,0,0,1,ct,0,0.15169052240457603
140,austria,co2_cap,0,0,1,ctt,0,0.12365232290342443
141,austria,co2_cap,0,0,1,n,0,0.7357246058386572
142,austria,co2_cap,0,0,2,c,0,0.1453961900779075
143,austria,co2_cap,0,0,2,ct,0,0.15169052240457603
144,austria,co2_cap,0,0,2,ctt,0,0.12365232290342443
145,austria,co2_cap,0,0,2,n,0,0.7357246058386572
146,austria,co2_cap,0,1,1,c,1,3.1792872665338826e-08
147,austria,co2_cap,0,1,2,c,1,2.8759627218431076e-19
148,austria,co2_cap,0,2,1,c,1,0.0013450553715508994
149,austria,co2_cap,0,2,2,c,1,1.1002504600647546e-18
150,austria,co2_cap,0,12,1,c,1,2.261710041420782e-06
151,austria,co2_cap,0,12,2,c,1,9.260869594408032e-11
152,austria,co2_cap,0,24,1,c,1,5.527976105920945e-07
153,austria,co2_cap,0,24,2,c,1,3.065255788506042e-08
154,austria,co2_cap,1,0,1,c,1,0.07305555315514858
155,austria,co2_cap,1,0,2,c,1,0.07305555315514858
156,austria,co2_cap,1,1,1,c,1,5.757877115265149e-07
157,austria,co2_cap,1,1,2,c,1,2.367378004906218e-18
158,austria,co2_cap,1,2,1,c,1,2.62360889139796e-05
159,austria,co2_cap,1,2,2,c,1,1.3398824867416074e-17
160,austria,co2_cap,1,12,1,c,1,1.7837588293662735e-05
161,austria,co2_cap,1,12,2,c,1,1.033623092778921e-06
162,austria,co2_cap,1,24,1,c,1,3.534799057687908e-06
163,austria,co2_cap,1,24,2,c,1,1.1665868619320817e-07
164,austria,gdp_cap,0,0,1,c,0,0.994712541036185
165,austria,gdp_cap,0,0,1,ct,0,0.7319659029142201
166,austria,gdp_cap,0,0,1,ctt,0,0.42718624250387627
167,austria,gdp_cap,0,0,1,n,0,0.9999489195571329
168,austria,gdp_cap,0,0,2,c,0,0.994712541036185
169,austria,gdp_cap,0,0,2,ct,0,0.7319659029142201
170,austria,gdp_cap,0,0,2,ctt,0,0.42718624250387627
171,austria,gdp_cap,0,0,2,n,0,0.9999489195571329
172,austria,gdp_cap,0,1,1,c,1,0.019792930955265912
173,austria,gdp_cap,0,1,2,c,1,3.6121531731386166e-10
174,austria,gdp_cap,0,2,1,c,1,0.005303061230481607
175,austria,gdp_cap,0,2,2,c,1,1.3424245049173799e-06
176,austria,gdp_cap,0,12,1,c,1,0.038067367447722385
177,austria,gdp_cap,0,12,2,c,1,0.002413822200102513
178,austria,gdp_cap,0,24,1,c,1,0.035360399151494394
179,austria,gdp_cap,0,24,2,c,1,0.0001462174099406954
180,austria,gdp_cap,1,0,1,c,0,0.8552852521849763
181,austria,gdp_cap,1,0,1,ct,0,0.1768946540522665
182,austria,gdp_cap,1,0,1,ctt,0,0.3597148019516277
183,austria,gdp_cap,1,0,1,n,0,0.9999538556399232
184,austria,gdp_cap,1,0,2,c,0,0.8552852521849763
185,austria,gdp_cap,1,0,2,ct,0,0.1768946540522665
