model,timeframe,timestamp,treatment_country,incl_vars,incl_countries,incl_years,stat,impl_date,months_cor,split_date,n_train,n_test,r2_pre_log_diff_stand,r2_pre_log_diff,r2_pre_log,r2_pre,lasso_alpha,n_pars,lasso_pars,lasso_coefs,normal_errors,shapiro_p,att_mean,att_std,att_sign,att_sign
arco,m,"2023-10-16, 15:41",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-24,2013-01-01,144,82,0.17900576532478452,0.174,0.413,0.374,0.47300000000000003,1,['spain co2_cap'],[0.162],1,0.2100733518600464,-0.011127490235361347,0.06614522137295506,0,0.2053157090904372
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-21,2013-04-01,147,79,0.1678228946691378,0.161,0.364,0.333,0.489,1,['spain co2_cap'],[0.149],1,0.20498208701610565,-0.012612491329200564,0.06691946646513178,0,0.1566480068444668
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-18,2013-07-01,150,76,0.12952611176330797,0.127,0.332,0.295,0.508,1,['spain co2_cap'],[0.115],1,0.19339877367019653,-0.013069735045670305,0.06901580699856136,0,0.15471211991580772
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-15,2013-10-01,153,73,0.12234226770453549,0.121,0.3,0.271,0.509,1,['spain co2_cap'],[0.109],1,0.1910434067249298,-0.01394316534512494,0.06939705421036318,0,0.13151061757687793
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-12,2014-01-01,156,70,0.10204434301761944,0.105,0.32,0.277,0.513,1,['spain co2_cap'],[0.091],1,0.18684172630310059,-0.012956626428584602,0.07040649023337467,0,0.16648621305136937
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-9,2014-04-01,159,67,0.07665664749850798,0.078,0.249,0.217,0.533,1,['spain co2_cap'],[0.068],1,0.17753654718399048,-0.014773025619818435,0.07190709718661542,0,0.1232050953484809
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-6,2014-07-01,162,64,0.06500813446259412,0.066,0.25,0.212,0.545,1,['spain co2_cap'],[0.057],1,0.17255783081054688,-0.014501564604214178,0.07262761908688319,0,0.13387792960291134
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,-3,2014-10-01,165,61,0.06621470233367166,0.067,0.274,0.229,0.545,1,['spain co2_cap'],[0.058],1,0.17291462421417236,-0.013659517460051134,0.07258040493232475,0,0.15724142198623292
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,0,2015-01-01,168,58,0.060201832889718365,0.061,0.283,0.233,0.548,1,['spain co2_cap'],[0.052],1,0.17055143415927887,-0.013011129738295268,0.07293065091647788,0,0.17959896504615824
arco,m,"2023-10-16, 15:42",portugal,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2015-01-01,3,2015-04-01,171,55,0.13823245957374775,0.138,0.416,0.357,0.485,1,['spain co2_cap'],[0.126],1,0.1972249299287796,-0.009021977556486111,0.06838816077399851,0,0.3192892687053738
